timestamp,time for refresh
2019-09-19_0800,0:02:02.105145
2019-09-19_0900,0:02:02.168940
2019-09-19_1000,0:02:02.404048
2019-09-19_1100,0:02:02.298293
2019-09-19_1200,0:02:02.783082
2019-09-19_1300,0:02:02.373491
2019-09-19_1400,0:02:02.299403
2019-09-19_1500,0:02:02.773639
2019-09-19_1600,0:02:02.418123
2019-09-19_1700,0:02:02.720528
2019-09-19_1800,0:02:03.186009
2019-09-19_1900,0:02:02.254776
2019-09-19_2000,0:02:02.611378
2019-09-19_2100,0:02:02.576922
2019-09-20_0000,0:02:03.453983
2019-09-20_0100,0:02:02.531986
2019-09-20_0200,0:02:02.882027
2019-09-20_0300,0:02:02.617321
2019-09-20_0400,0:02:02.000180
2019-09-20_0500,0:02:01.954973
2019-09-20_0600,0:02:02.136255
2019-09-20_0700,0:02:02.154838
2019-09-20_0800,0:02:01.959780
2019-09-20_0900,0:02:02.447501
2019-09-20_1000,0:02:03.467688
2019-09-20_1100,0:02:03.100713
2019-09-20_1200,0:02:02.765360
2019-09-20_1300,0:02:02.653912
2019-09-20_1400,0:02:03.974176
2019-09-20_1500,0:02:03.244454
2019-09-20_1600,0:02:02.596075
2019-09-20_1700,0:02:02.263555
2019-09-20_1800,0:02:03.817502
2019-09-20_1900,0:02:02.958230
2019-09-20_2000,0:02:03.057362
2019-09-20_2100,0:02:02.441372
2019-09-20_2200,0:02:02.139268
2019-09-20_2300,0:02:04.089710
2019-09-21_0000,0:02:02.950529
2019-09-21_0100,0:02:02.315172
2019-09-21_0200,0:02:02.566448
2019-09-21_0300,0:02:03.700531
2019-09-21_0400,0:02:02.017962
2019-09-21_0500,0:02:02.258210
2019-09-21_0600,0:02:02.657617
2019-09-21_0700,0:02:01.812607
2019-09-21_0800,0:02:02.179463
2019-09-21_0900,0:02:02.176496
2019-09-21_1000,0:02:02.115713
2019-09-21_1100,0:02:01.996218
2019-09-21_1200,0:02:02.577594
2019-09-21_1300,0:02:02.392756
2019-09-21_1400,0:02:02.239362
2019-09-21_1500,0:02:02.455209
2019-09-21_1600,0:02:02.364148
2019-09-21_1700,0:02:02.412355
2019-09-21_1800,0:02:02.238164
2019-09-21_1900,0:02:02.634759
2019-09-21_2000,0:02:03.015144
2019-09-22_0300,0:02:02.537708
2019-09-22_0400,0:02:02.311860
2019-09-22_0500,0:02:02.205595
2019-09-22_0600,0:02:02.504577
2019-09-22_0700,0:02:02.882919
2019-09-22_0800,0:02:02.124604
2019-09-22_0900,0:02:02.299148
2019-09-22_1000,0:02:02.379551
2019-09-22_1100,0:02:02.481217
2019-09-22_1200,0:02:02.755989
2019-09-22_1300,0:02:02.745191
2019-09-22_1400,0:02:02.632509
2019-09-22_1500,0:02:02.355577
2019-09-22_1600,0:02:02.445444
2019-09-22_1700,0:02:02.663376
2019-09-23_1200,0:02:04.980536
2019-09-23_1300,0:02:02.972465
2019-09-23_1400,0:02:02.966338
2019-09-23_1500,0:02:02.669871
2019-09-23_1600,0:02:02.390969
2019-09-23_1700,0:02:02.985872
2019-09-23_1800,0:02:02.558745
2019-09-23_1900,0:02:03.387877
2019-09-23_2000,0:02:02.437984
2019-09-23_2100,0:02:02.812948
2019-09-23_2200,0:02:03.239720
2019-09-23_2300,0:02:02.442024
2019-09-25_0100,0:02:03.049980
2019-09-25_0200,0:02:02.912718
2019-09-25_0300,0:02:04.047540
2019-09-25_0400,0:02:02.054780
2019-09-25_0500,0:02:02.169579
2019-09-25_0600,0:02:01.779124
2019-09-25_0700,0:02:02.081674
2019-09-25_0800,0:02:02.069611
2019-09-25_0900,0:02:02.177602
2019-09-25_1000,0:02:02.349326
2019-09-25_1100,0:02:02.311290
2019-09-25_1200,0:02:02.209885
2019-09-25_1300,0:02:03.017305
2019-09-25_1400,0:02:02.583231
2019-09-25_1500,0:02:02.691473
2019-09-25_1600,0:02:02.889316
2019-09-25_1700,0:02:02.279471
2019-09-25_1800,0:02:02.783433
2019-09-25_1900,0:02:02.997981
2019-09-25_2000,0:02:02.928141
2019-09-25_2100,0:02:02.422883
2019-09-25_2200,0:02:02.353564
2019-09-26_0200,0:02:02.969411
2019-09-26_0300,0:02:02.209299
2019-09-26_0400,0:02:02.457925
2019-09-26_0500,0:02:02.776336
2019-09-26_0600,0:02:02.270751
2019-09-26_0700,0:02:02.108478
2019-09-26_0800,0:02:02.228515
2019-09-26_0900,0:02:02.023758
2019-09-26_1000,0:02:02.195844
2019-09-26_1100,0:02:02.712884
2019-09-26_1300,0:02:02.674835
2019-09-26_1400,0:02:03.074338
2019-09-26_1500,0:02:02.351452
2019-09-26_1600,0:02:02.131164
2019-09-26_1700,0:02:02.201461
2019-09-26_1800,0:02:02.524051
2019-09-26_1900,0:02:02.044930
2019-09-26_2000,0:02:03.526228
2019-09-26_2100,0:02:02.445946
2019-09-27_1000,0:02:02.061461
2019-09-27_1500,0:02:03.017904
2019-09-27_1600,0:02:04.438285
2019-09-27_1700,0:02:03.100044
2019-09-27_1800,0:02:02.340103
2019-09-27_1900,0:02:02.364039
2019-09-28_1600,0:02:02.003757
2019-09-28_1700,0:02:02.596617
2019-09-28_1800,0:02:02.535535
2019-09-28_1900,0:02:02.229830
2019-09-28_2000,0:02:03.057669
2019-09-28_2100,0:02:02.177467
2019-09-28_2200,0:02:02.667931
2019-09-28_2300,0:02:02.910783
2019-09-29_1300,0:02:03.100267
2019-09-29_1400,0:02:02.511747
2019-09-29_1500,0:02:02.553608
2019-09-29_1600,0:02:02.382883
2019-09-29_1700,0:02:02.210479
2019-09-29_1800,0:02:02.953977
2019-09-29_1900,0:02:02.587965
2019-09-29_2000,0:02:02.627769
2019-09-29_2100,0:02:02.776763
2019-09-29_2200,0:02:02.450361
2019-09-30_1300,0:02:02.281202
2019-09-30_1400,0:02:02.374596
2019-09-30_1500,0:02:02.130484
2019-09-30_1600,0:02:02.173616
2019-09-30_1700,0:02:02.055132
2019-09-30_1800,0:02:02.342595
2019-09-30_1900,0:02:02.356659
2019-10-01_1100,0:02:03.010045
2019-10-01_1200,0:02:03.605164
2019-10-01_1800,0:02:02.183925
2019-10-01_1900,0:02:02.358163
2019-10-01_2000,0:02:02.174712
2019-10-01_2100,0:02:02.176955
2019-10-03_1800,0:02:02.142151
2019-10-04_1500,0:02:04.053338
2019-10-04_1600,0:02:02.561023
2019-10-04_1700,0:02:02.861640
2019-10-04_1800,0:02:04.084720
2019-10-04_1900,0:02:02.689969
2019-10-04_2000,0:02:03.570764
2019-10-05_2300,0:02:02.526702
2019-10-06_1500,0:02:03.051349
2019-10-06_1600,0:02:02.705775
2019-10-06_1700,0:02:02.438387
2019-10-06_1800,0:02:02.747534
2019-10-06_1900,0:02:02.420244
2019-10-07_2000,0:02:07.577540
2019-10-07_2100,0:02:02.311519
2019-10-07_2200,0:02:02.460170
2019-10-08_1300,0:02:02.791785
2019-10-08_1400,0:02:02.664457
2019-10-08_1500,0:02:02.605787
2019-10-08_1600,0:02:02.615449
2019-10-08_1700,0:02:03.051542
2019-10-08_1800,0:02:02.885451
2019-10-08_1900,0:02:02.569554
2019-10-08_2000,0:02:02.489873
2019-10-09_1900,0:02:02.195512
2019-10-10_1000,0:02:02.938526
2019-10-10_2000,0:02:02.316845
2019-10-10_2100,0:02:02.558340
2019-10-10_2200,0:02:06.615527
2019-10-12_1300,0:02:03.947997
2019-10-12_1400,0:02:03.567033
2019-10-12_1500,0:02:03.984842
2019-10-12_1600,0:02:02.689020
2019-10-12_2000,0:02:03.189608
2019-10-12_2100,0:02:03.132317
2019-10-13_1100,0:02:02.844391
2019-10-13_1200,0:02:03.055694
2019-10-13_1300,0:02:05.583982
2019-10-13_1400,0:02:02.528381
2019-10-13_1500,0:02:02.256114
2019-10-13_1600,0:02:02.383577
2019-10-13_1700,0:02:01.993884
2019-10-13_1800,0:02:02.802464
2019-10-13_1900,0:02:08.038686
2019-10-13_2000,0:02:04.311967
2019-10-13_2100,0:02:02.401085
2019-10-14_1200,0:02:01.783820
2019-10-14_1300,0:02:03.724435
2019-10-14_1400,0:02:03.552841
2019-10-14_1500,0:02:02.881460
2019-10-14_1600,0:02:02.855768
2019-10-14_1700,0:02:02.686733
2019-10-14_1800,0:02:02.906299
2019-10-14_1900,0:02:02.716979
2019-10-15_0800,0:02:00.944808
2019-10-15_0900,0:02:00.858854
2019-10-15_1000,0:02:00.978486
2019-10-15_1100,0:02:01.089519
2019-10-15_1200,0:02:01.154185
2019-10-15_1300,0:02:00.825300
2019-10-15_1400,0:02:00.851349
2019-10-15_1500,0:02:02.534861
2019-10-15_1600,0:02:02.465892
2019-10-15_1700,0:02:02.413813
2019-10-15_1800,0:02:02.415630
2019-10-15_1900,0:02:04.969745
2019-10-15_2000,0:02:02.350409
2019-10-15_2100,0:02:03.039007
2019-10-15_2200,0:02:03.230499
2019-10-15_2300,0:02:02.596882
2019-10-16_1200,0:02:02.513045
2019-10-16_1300,0:02:00.825924
2019-10-16_1400,0:02:00.883233
2019-10-16_1600,0:02:02.635000
2019-10-17_2200,0:02:02.882710
2019-10-18_1200,0:02:02.556509
2019-10-18_1300,0:02:02.534238
2019-10-18_1400,0:02:02.851090
2019-10-18_1500,0:02:02.644843
